Marvelettes
Neil Diamond
Lee Dorsey
Dionne Warwick
Lou Rawls
Beach Boys
Shadows Of Knight
Supremes
Bob Dylan
Sandpipers
Wilson Pickett
Shades Of Blue
Peter and Gordon
Turtles
Vogues
Los Bravos
Beatles
Herman's Hermits
Slim Harpo
Gary Lewis and The Playboys
Chris Montez
Bobby Fuller Four
Beatles
Paul Revere and The Raiders
Herb Alpert and The Tijuana Brass
Yardbirds
Wilson Pickett
Lulu
Box Tops
Bobby Gentry
Association
Monkees
Doors
Nancy Sinatra and Frank Sinatra
Turtles
Young Rascals
Frankie Valli
Music Explosion
Tommy James and The Shondells
Aretha Franklin
Stevie Wonder
Bobby Vee and The Strangers
Buckinghams
Arthur Conley
Soul Survivors
Sam and Dave
Association
Jay and The Techniques
Every Mothers' Son
Strawberry Alarm Clock
Rolling Stones
Vicki Carr
Brenton Wood
Buffalo Springfield
Supremes
Supremes
Beatles
Engelbert Humperdinck
Marvin Gaye and Tammi Terrell
Jefferson Airplane
Esquires
Van Morrison
Martha and The Vandella
Happenings
Procol Harum
Buckinghams
Casinos
Diana Ross and The Supremes
Hollies
Bobby Vinton
Dionne Warwick
Tremeloes
Ed Ames
Fifth Dimension
Scott Mckenzie
Cowsills
Herman's Hermits
Buckinghams
Petula Clark
Jackie Wilson
Young Rascals
Beatles
Temptations
Seekers
Five Americans
Aretha Franklin
Monkees
Lesley Gore
Mama's and The Papa's
Young Rascals
Hollies
Blue Magoos
Easy Beats
Bar-Kays
Spencer Davis Group
Hombres
Grass Roots
Peaches and Herb
Booker T and The MG's
Wilson Pickett
Monkees
Aretha Franklin
Aaron Neville
James Brown and The Famous Flames
Turtles
Keith
Ray Charles
Jefferson Airplane
Four Tops
Sonny and Cher
Royal Guardsmen
Janis Ian
Neil Diamond
Marvin Gaye and Tammi Terrell
Sandy Posey
Tremeloes
Robert Knight
"Peter, Paul and Mary"
Bill Cosby
Electric Prunes
Monkees
Johnny Rivers
Who
Tommy James and The Shondells
Tom Jones
Petula Clark
Neil Diamond
Beatles
Paul Mauriat
Bobby Goldsboro
Otis Redding
Rascals
Cream
Herb Alpert
Hugo Montenegro
Simon and Garfunkel
Archie Bell and The Drells
Jeannie C. Riley
O.C. Smith
Tommy James and The Shondells
Doors
Gary Puckett and The Union Gap
Box Tops
Fifth Dimension
Hugh Masekela
Grass Roots
Sly and The Family Stone
Cliff Nobles and Co.
Temptations
Delfonics
Vogues
John Fred and His Playboy Band
Classics IV
Diana Ross and The Supremes
Merrilee Rush
Georgie Fame
Mary Hopkin
Steppenwolf
Intruders
1910 Fruitgum Company
Gary Puckett and The Union Gap
Rascals
Sergio Mendes and Brasil '66
Johnny Nash
Ohio Express
Crazy World Of Arthur Brown
Troggs
Gene and Debbe
Dionne Warwick
Mason Williams
Clarence Carter
