"Tie Me Kangaroo Down, Sport",Rolf Harris,4687
Be My Baby,Ronettes,32213
Walk Right In,Rooftop Singers,536
Mean Woman Blues,Roy Orbison,145877
In Dreams,Roy Orbison,145877
Our Day Will Come,Ruby and The Romantics,472
Walking The Dog,Rufus Thomas,4383
Little Red Rooster,Sam Cooke,208616
Another Saturday Night,Sam Cooke,208616
Foolish Little Girl,Shirelles,17256
The End Of The World,Skeeter Davis,9254
I Can't Stay Mad At You,Skeeter Davis,9254
Go Away Little Girl,Steve Lawrence,1353
Talk To Me,Sunny and The Sunglows,160
Wipe Out,Surfaris,5357
Everybody,Tommy Roe,3273
I Wanna Be Around,Tony Bennett,131224
If I Had A Hammer,Trini Lopez,4536
So Much In Love,Tymes,822
Washington Square,Village Stompers,449
Cotton Candy,Al Hirt,2944
Java,Al Hirt,2944
I Love You More And More Every Day,Al Martino,4334
A Fool Never Learns,Andy Williams,54150
The House Of The Rising Sun,Animals,273958
Diane,Bachelors,6160
People,Barbara Streisand,?
People,Barbra Streisand,126879
I Get Around,Beach Boys,509219
Do You Want To Know A Secret,Beatles,2007172
Love Me Do,Beatles,2007172
A Hard Day's Night,Beatles,2007172
I Want To Hold Your Hand,Beatles,2007172
She Loves You,Beatles,2007172
Please Please Me,Beatles,2007172
Can't Buy Me Love,Beatles,2007172
I Saw Her Standing There,Beatles,2007172
The Shoop Shoop Song (It's In His Kiss),Betty Everett,2280
Let It Be Me,Betty Everett and Jerry Butler,25
Bad To Me,Billy J. Kramer and The Dakotas,395
Little Children,Billy J. Kramer and The Dakotas,395
C'mon And Swim,Bobby Freeman,610
See The Funny Little Clown,Bobby Goldsboro,4972
There! I've Said It Again,Bobby Vinton,14414
A Summer Song,Chad and Jeremy,2267
White On White,Danny Williams,773
Can't You See That She's Mine,Dave Clark Five,4904
Because,Dave Clark Five,4904
Glad All Over,Dave Clark Five,4904
Bits And Pieces,Dave Clark Five,4904
Do You Love Me,Dave Clark Five,4904
The Door Is Still Open To My Heart,Dean Martin,209977
Everybody Loves Somebody,Dean Martin,209977
Navy Blue,Diane Renay,98
Anyone Who Had A Heart,Dionne Warwick,48029
Walk On By,Dionne Warwick,48029
Chapel Of Love,Dixie Cups,5680
Under The Boardwalk,Drifters,48618
Wishin' And Hopin',Dusty Springfield,89255
Rag Doll,Four Seasons,94580
Ronnie,Four Seasons,94580
Dawn (Go Away),Four Seasons,94580
Baby I Need Your Loving,Four Tops,64040
We'll Sing In The Sunshine,Gale Garnett,202
It Hurts To Be In Love,Gene Pitney,9005
Don't Let The Sun Catch You Crying,Gerry and The Pacemakers,13560
How Do You Do It!,Gerry and The Pacemakers,13560
Little Honda,Hondells,97
Have I The Right?,Honeycombs,1360
I'm So Proud,Impressions,13540
Keep On Pushing,Impressions,13540
Last Kiss,J. Frank Wilson and The Cavaliers,688
Dead Man's Curve,Jan and Dean,4589
The Little Old Lady,Jan and Dean,4589
Come A Little Bit Closer,Jay and The Americans,2542
I Wanna Love Him So Bad,Jelly Beans,1139
Steal Away,Jimmy Hughes,562
Funny,Joe Hinton,92
Memphis,Johnny Rivers,9916
Louie Louie,Kingsmen,7534
Money,Kingsmen,7534
You Really Got Me,Kinks,286659
You Don't Own Me,Lesley Gore,10752
"Hello, Dolly!",Louis Armstrong,332718
"Um, Um, Um, Um, Um, Um",Major Lance,1569
Do Wah Diddy Diddy,Manfred Mann,19667
Out Of Limits,Marketts,2102
Dancing In The Street,Martha and The Vandellas,20220
My Guy,Mary Wells,16204
My Boy Lollipop,Millie Small,957
(You Don't Know) How Glad I Am,Nancy Wilson,14443
Today,New Christy Minstrels,828
Bread And Butter,Newbeats,371
A World Without Love,Peter and Gordon,4059
(Just Like) Romeo And Juliet,Reflections,7550
For You,Rick Nelson,284
Hey Little Cobra,Rip Chords,314
Dang Me,Roger Miller,16117
Chug-a-lug,Roger Miller,16117
G.T.O.,Ronny and The Daytona,240
It's Over,Roy Orbison,145877
"Oh, Pretty Woman",Roy Orbison,145877
The Shelter Of Your Arms,Sammy Davis Jr.,38282
Don't Throw Your Love Away,Searchers,10756
Needles And Pins,Searchers,10756
Don't Let The Rain Come Down (Crooked Little Man),Serendipity Singers,179
Remember (Walkin' In The Sand),Shangri-Las,15447
Leader Of The Pack,Shangri-Las,15447
The Girl From Ipanema,Stan Getz and Astrud Gilberto,751
Where Did Our Love Go,Supremes,117186
What Kind Of Fool (Do You Think I Am),Tams,1356
The Way You Do The Things You Do,Temptations,222204
Suspicion,Terry Stafford,561
Surfin' Bird,Trashmen,11351
Walk Don't Run '64,Ventures,28912
The Boy From New York City,Ad Libs,331
We Gotta Get Out Of This Place,Animals,273958
Baby I'm Yours,Barbara Lewis,2682
"Yes, I'm Ready",Barbara Mason,5083
Eve Of Destruction,Barry McGuire,4673
California Girls,Beach Boys,509219
"Help Me, Rhonda",Beach Boys,509219
Help!,Beatles,2007172
Ticket To Ride,Beatles,2007172
Eight Days A Week,Beatles,2007172
Just A Little,Beau Brummels,2379
"Laugh, Laugh",Beau Brummels,2379
Down In The Boondocks,Billy Joe Royal,2208
Like A Rolling Stone,Bob Dylan,946316
Little Things,Bobby Goldsboro,4972
Too Many Rivers,Brenda Lee,27192
Mr. Tambourine Man,Byrds,73044
All I Really Want To Do,Cher,78514
Catch Us If You Can,Dave Clark Five,4904
I Like It Like That,Dave Clark Five,4904
Keep Searchin',Del Shannon,16723
I'm A Fool,"Dino, Desi and Billy",78
Crying In The Chapel,Elvis Presley,1088162
You've Got Your Troubles,Fortunes,2738
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,64040
It's The Same Old Song,Four Tops,64040
I'm Telling You Now,Freddie and The Dreamers,2422
